No,Area,Cabang,Kode,Nama Toko,Jenis Toko,Alamat,Hotel VASA (Ya/Tidak),Hotel IBIS Budget (Ya/Tidak),cadangan ke … (hanya untuk toko cadangan),Kadiv Mitra 10,Jumlah orang,Nama Undangan,Meja VIP,Keterangan
52,5,JOMBANG,16L02030010,"PUTRA JAYA, UD ",TRO,DS. NGUMPAK,Tidak,Tidak,,,2,SUGIANTO,,
53,5,JOMBANG,16L02050007,SIDO MAKMUR,TRO,DS KALEN MOJOKERTO,Tidak,Tidak,,,2,KAMAL,,
54,5,JOMBANG,16L02100001,3 SERANGKAI,TRO,RAYA KEMLAGI DEPAN LAPANGAN KEMLAGI,Tidak,Tidak,,,2,AFAN,,
55,5,JOMBANG,16L02110005,INDAH JAYA,TRO,RAYA PESANGGARAHAN 271,Tidak,Tidak,,,2,SAMSUL,,
56,5,JOMBANG,16L02110012,SUMBER AGUNG,TRO,RY MOJOSARI PACET,Tidak,Tidak,,,2,JAJANG,,
57,5,JOMBANG,16L02110014,DUA SAUDARA,TRO,DIPONEGORO PERTIGAAN KUTOREJO,Tidak,Tidak,,,2,ARIFIN,,
58,5,JOMBANG,16L02130003,AL RAHMAH,TRO,KARTINI 63,Tidak,Tidak,,,2,USWATUN,,
59,5,JOMBANG,16L02130006,"BAHRUL RIZQYAH, UD ",TRO,NGAGROK,Tidak,Tidak,,,2,BUDI,,
60,5,JOMBANG,16L02130010,"CENTRAL PEMBANGUNAN, UD ",TRO,MASJID 23/25,Tidak,Tidak,,,2,NIAM,,
61,5,JOMBANG,16L02130013,ETERNA,TRO,"DSN. LEMIRING, DESA LEMINGGIR, RT.19, RW.05",Tidak,Tidak,,,2,ERWIN,,
62,5,JOMBANG,16L02130029,NIKMAH JAYA,TRO,RADEN WIJAYA-KEMLOKO,Tidak,Tidak,,,2,IFA,,
63,5,JOMBANG,16L02130037,"SUMBER ABADI, UD ",TRO,RAYA BRAWIJAYA 3,Tidak,Tidak,,,2,HERIE,,
64,5,JOMBANG,16L02130043,SURYA JAYA,TRO,NIAGA 21,Tidak,Tidak,,,2,BRYANT,,
65,5,JOMBANG,16L02140011,"MIRA MAKMUR, UD ",TRO,RAYA WONOSARI 4,Tidak,Tidak,,,2,MALA,,
66,5,JOMBANG,16L02140018,VIANT JAYA ABADI,TRO,RAYA JOLOTUNDO 5,Tidak,Tidak,,,2,YANI,,
67,5,JOMBANG,16L02150003,LANCAR,TRO,BUNG TOMO 64 (PANDAN ARUM),Tidak,Tidak,,,2,SAMUEL,,
68,5,JOMBANG,16L02150006,PAUNDRA DAYU,TRO,RAYA PACET (DR. SUTOMO 47),Tidak,Tidak,,,2,RIFAI,,
69,5,JOMBANG,16L02160005,ILMA JAYA,TRO,DUSUN PASINAN KRAJAN DESA SEKARGADUNG,Tidak,Tidak,,,2,TIKNO,,
70,5,JOMBANG,16L02160009,SERBA LANCAR,TRO,A. YANI 37,Tidak,Tidak,,,2,LILIK,,
71,5,JOMBANG,16L03020005,LANCAR,TRO,UTARA SUMUR PANDAN 100M,Tidak,Tidak,,,2,HASAN,,
72,5,JOMBANG,16L03040006,TEGUH RAHAYU,TRO,BELAKANG PASAR GONDANG,Tidak,Tidak,,,2,HARDI,,
73,5,JOMBANG,16L03060005,LANCAR JAYA,TRO,IMAM BONJOL 84 TEMBARAK,Tidak,Tidak,,,2,FARID,,
74,5,JOMBANG,16L03060011,SRIKANDI,TRO,SUPRIYADI 17 / STAND RUKO SRIKANDI,Tidak,Tidak,,,2,FARID,,
75,5,JOMBANG,16L03070007,PODO ELING,TRO,DS. SAWAHAN,Tidak,Tidak,,,2,GAGUK,,
76,5,JOMBANG,16L03080001,AL-HUDA,TRO,SEMERU RT 008 RW 001 - SUKOREJO,Tidak,Tidak,,,2,LILIS,,
77,5,JOMBANG,16L03080008,MENTARI - LESTARI,TRO,WILIS GODEAN - LOCERET,Tidak,Tidak,,,2,HERI,,
78,5,JOMBANG,16L03080016,SEDERHANA,TRO,ANJUKLADANG 1,Tidak,Tidak,,,2,NING,,
79,5,JOMBANG,16L03090006,KARYA AGUNG,TRO,GATOT SUBROTO 74,Tidak,Tidak,,,2,UMI,,
80,5,JOMBANG,16L03090020,RYSKY,TRO,LETJEN SUPRAPTO,Tidak,Tidak,,,2,KADENO,,
81,5,JOMBANG,16L03090023,SURYA AGUNG,TRO,PANGLIMA SUDIRMAN 100,Ya,Tidak,,,2,FANI,,
82,5,JOMBANG,16L03090028,KAROMAH ABADI MAKMUR,TRO,CITANDUL,Tidak,Tidak,,,2,SITI,,
83,5,JOMBANG,16L03100002,LESTARI,TRO,RAYA KUNCIR NGETOS,Tidak,Tidak,,,2,LASTRI,,
